verbe,temps,1ps,2ps,3ps,1pp,2pp,3pp
démettre,Futur simple,démettrai,démettras,démettra,démettrons,démettrez,démettront
démordre,Présent,démords,démords,démord,démordons,démordez,démordent
démordre,Passé composé,ai démordu,as démordu,a démordu,avons démordu,avez démordu,ont démordu
démordre,Imparfait,démordais,démordais,démordait,démordions,démordiez,démordaient
démordre,Futur simple,démordrai,démordras,démordra,démordrons,démordrez,démordront
départir,Présent,dépars,dépars,départ,départons,départez,départent
départir,Passé composé,ai départi,as départi,a départi,avons départi,avez départi,ont départi
départir,Imparfait,départais,départais,départait,départions,départiez,départaient
départir,Futur simple,départirai,départiras,départira,départirons,départirez,départiront
dépeindre,Présent,dépeins,dépeins,dépeint,dépeignons,dépeignez,dépeignent
dépeindre,Passé composé,ai dépeint,as dépeint,a dépeint,avons dépeint,avez dépeint,ont dépeint
dépeindre,Imparfait,dépeignais,dépeignais,dépeignait,dépeignions,dépeigniez,dépeignaient
dépeindre,Futur simple,dépeindrai,dépeindras,dépeindra,dépeindrons,dépeindrez,dépeindront
dépendre,Présent,dépends,dépends,dépend,dépendons,dépendez,dépendent
